,UPLOADS,SUBSCRIBERS,VIDEO VIEWS,COUNTRY,USER CREATED,Gamer,CHANNEL TYPE
0,0,113,0,CHANNEL TYPE,"Sep 29th, 2011",Bruno Sol,
1,"1,517",37.7K,"8,101,582",ES,"Feb 15th, 2012",DjPrieto y neta,Entertainment
2,296,27K,"1,983,966",ES,"Aug 8th, 2019",Indies con Lara,Games
3,18,59,"74,290",US,"Aug 3rd, 2008",Jin Kisaragi,Music
4,"2,195",1.05M,"211,421,624",ES,"Jan 26th, 2015",Kahuna Games,Games
5,20,340,"61,200",CHANNEL TYPE,"Sep 3rd, 2020",LadyBoss,
6,"2,049",783K,"166,506,247",ES,"Aug 4th, 2006",Outconsumer,Games
7,1,6,"3,148",ES,"Aug 22nd, 2012",Richard Betacode,Music
8,1,6,"1,914",MX,"Aug 27th, 2010",Sr Serpiente,Film
9,786,5.86K,"1,739,136",ES,"Feb 20th, 2014",Zhakey games,Sports
10,228,1.96M,"372,850,281",ES,"Mar 8th, 2012",Zorman,Entertainment
11,"1,248",57.1K,"11,013,151",ES,"Apr 23rd, 2017",LudikPlay,Games
12,51,495,"10,175",ES,"Jul 9th, 2021",Trizia Curtis,Games
13,165,267K,"27,799,534",ES,"Sep 10th, 2013",LynxReviewer,Entertainment
14,288,36K,"1,844,716",ES,"Dec 11th, 2013",Dilerion Games,Games
15,123,1.37K,"4,693",IN,"Oct 21st, 2019",Lyra Gaming,Games
16,115,321,"14,905",CHANNEL TYPE,"Jul 28th, 2021",Datana Gamer ,
